E,F_x,F_y,T,Tr
8.21126,-0.0581454,0.283009,4.9755,4.94611
8.55088,-0.0398845,-0.0407539,5.03464,4.99648
8.81507,0.102635,-0.119531,5.03302,5.03463
8.67372,0.0473862,-0.00147354,5.00512,5.01433
8.58815,0.0106609,-0.000382184,5,5.00192
8.20071,-0.476862,0.281032,4.78713,4.94452
7.97363,-0.645129,0.0361842,4.96781,4.90993
8.73393,-0.0389047,-0.0505641,5.06356,5.02301
8.66966,0.0134522,-0.000593884,5.00912,5.01374
8.58124,0.00331384,-0.000243274,5,5.00091
8.20842,-0.475134,-0.288533,4.78759,4.94568
7.96858,-0.645635,-0.0213544,4.96641,4.90915
8.73915,-0.0405635,0.0450285,5.06356,5.02376
8.67016,0.013045,0.000584723,5.00921,5.01381
8.58126,0.00332015,0.000244679,5,5.00091
8.23591,-0.0536181,-0.313055,4.97849,4.94982
8.56708,-0.046806,0.051423,5.03214,4.99884
8.83073,0.0348273,0.0803392,5.03328,5.03687
8.60495,0.00550561,0.000786856,5.00143,5.00436
8.57631,0.000459356,0.000243315,5,5.00019
8.55903,-0.0315988,0.0512798,5.02105,4.99767
8.73851,0.0408226,0.122937,5.02565,5.02367
8.70946,0.0545685,0.0643445,5.00803,5.01949
8.59401,0.00984256,0.000382392,5,5.00277
8.575,0,0,5,5
