E,F_x,F_y,T,Tr
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
8.575,0,0,5,5
