x,rho,E,F,T
0.001,1,0.333543,0.332207,0.056234
0.003,1,0.348793,0.347633,0.056234
0.005,1,0.363504,0.362364,0.056234
0.007,1,0.377572,0.376452,0.056234
0.009,1,0.390972,0.389872,0.056234
0.011,1,0.40368,0.402602,0.056234
0.013,1,0.415675,0.414619,0.056234
0.015,1,0.426934,0.425901,0.056234
0.017,1,0.437438,0.436429,0.056234
0.019,1,0.447169,0.446184,0.056234
0.021,1,0.456109,0.455149,0.056234
0.023,1,0.464243,0.463309,0.056234
0.025,1,0.471557,0.470648,0.056234
0.027,1,0.478037,0.477155,0.056234
0.029,1,0.483673,0.482818,0.056234
0.031,1,0.488455,0.487626,0.056234
0.033,1,0.492374,0.491573,0.056234
0.035,1,0.495423,0.494649,0.056234
0.037,1,0.497598,0.496852,0.056234
0.039,1,0.498894,0.498176,0.056234
0.041,1,0.499309,0.498619,0.056234
0.043,1,0.498843,0.498181,0.056234
0.045,1,0.497496,0.496862,0.056234
0.047,1,0.495272,0.494666,0.056234
0.049,1,0.492174,0.491596,0.056234
0.051,1,0.488207,0.487657,0.056234
0.053,1,0.48338,0.482857,0.056234
0.055,1,0.477699,0.477204,0.056234
0.057,1,0.471177,0.470708,0.056234
0.059,1,0.463823,0.463382,0.056234
0.061,1,0.455652,0.455237,0.056234
0.063,1,0.446678,0.446289,0.056234
0.065,1,0.436917,0.436553,0.056234
0.067,1,0.426386,0.426047,0.056234
0.069,1,0.415104,0.414789,0.056234
0.071,1,0.403091,0.402799,0.056234
0.073,1,0.390368,0.390099,0.056234
0.075,1,0.376957,0.376711,0.056234
0.077,1,0.362884,0.362659,0.056234
0.079,1,0.348172,0.347968,0.056234
0.081,1,0.332847,0.332663,0.056234
0.083,1,0.316937,0.316772,0.056234
0.085,1,0.30047,0.300324,0.056234
0.087,1,0.283475,0.283346,0.056234
0.089,1,0.265982,0.265869,0.056234
0.091,1,0.248022,0.247925,0.056234
0.093,1,0.229628,0.229545,0.056234
0.095,1,0.21083,0.210761,0.056234
0.097,1,0.191663,0.191606,0.056234
0.099,1,0.172161,0.172115,0.056234
0.101,1,0.152358,0.152323,0.056234
0.103,1,0.132289,0.132263,0.056234
0.105,1,0.111989,0.111971,0.056234
0.107,1,0.0914953,0.0914838,0.056234
0.109,1,0.0708429,0.0708371,0.056234
0.111,1,0.0500686,0.0500674,0.056234
0.113,1,0.0292092,0.0292114,0.056234
0.115,1,0.00830154,0.00830592,0.056234
0.117,1,-0.0126175,-0.0126121,0.056234
0.119,1,-0.033511,-0.0335057,0.056234
0.121,1,-0.0543419,-0.054338,0.056234
0.123,1,-0.0750736,-0.0750721,0.056234
0.125,1,-0.0956694,-0.0956716,0.056234
0.127,1,-0.116093,-0.1161,0.056234
0.129,1,-0.136308,-0.136321,0.056234
0.131,1,-0.15628,-0.1563,0.056234
0.133,1,-0.175972,-0.176,0.056234
0.135,1,-0.19535,-0.195388,0.056234
0.137,1,-0.21438,-0.214428,0.056234
0.139,1,-0.233028,-0.233088,0.056234
0.141,1,-0.251262,-0.251334,0.056234
0.143,1,-0.269049,-0.269135,0.056234
0.145,1,-0.286358,-0.286459,0.056234
0.147,1,-0.303158,-0.303275,0.056234
0.149,1,-0.319421,-0.319553,0.056234
0.151,1,-0.335116,-0.335266,0.056234
0.153,1,-0.350217,-0.350385,0.056234
0.155,1,-0.364696,-0.364884,0.056234
