x,rho,E,F,T,Tr
0.001,1,22.7914,-22.4658,6.38539,6.38417
0.003,1,23.0455,-22.4328,6.40311,6.40189
0.005,1,23.3158,-22.4151,6.42181,6.42058
0.007,1,23.5867,-22.3971,6.44039,6.43915
0.009,1,23.8583,-22.3788,6.45885,6.4576
0.011,1,24.1305,-22.3603,6.4772,6.47594
0.013,1,24.4034,-22.3415,6.49544,6.49417
0.015,1,24.6768,-22.3223,6.51356,6.51229
0.017,1,24.9509,-22.3029,6.53158,6.5303
0.019,1,25.2256,-22.2832,6.54949,6.5482
0.021,1,25.5009,-22.2633,6.56729,6.56599
0.023,1,25.7768,-22.243,6.58499,6.58368
0.025,1,26.0533,-22.2224,6.60258,6.60126
0.027,1,26.3303,-22.2016,6.62006,6.61874
0.029,1,26.6079,-22.1804,6.63745,6.63612
0.031,1,26.886,-22.159,6.65473,6.65339
0.033,1,27.1647,-22.1373,6.67191,6.67057
0.035,1,27.4439,-22.1153,6.68899,6.68764
0.037,1,27.7235,-22.093,6.70597,6.70461
0.039,1,28.0037,-22.0705,6.72285,6.72149
0.041,1,28.2844,-22.0477,6.73963,6.73827
0.043,1,28.5655,-22.0246,6.75632,6.75495
0.045,1,28.8471,-22.0012,6.77291,6.77153
0.047,1,29.1291,-21.9776,6.7894,6.78802
0.049,1,29.4116,-21.9537,6.80581,6.80442
0.051,1,29.6945,-21.9296,6.82211,6.82072
0.053,1,29.9778,-21.9051,6.83833,6.83693
0.055,1,30.2615,-21.8804,6.85445,6.85305
0.057,1,30.5456,-21.8555,6.87049,6.86908
0.059,1,30.8301,-21.8303,6.88643,6.88502
0.061,1,31.115,-21.8048,6.90229,6.90087
0.063,1,31.4002,-21.779,6.91806,6.91663
0.065,1,31.6859,-21.7529,6.93374,6.93231
0.067,1,31.9719,-21.7266,6.94933,6.9479
0.069,1,32.2582,-21.7,6.96484,6.9634
0.071,1,32.5449,-21.6731,6.98027,6.97882
0.073,1,32.8319,-21.646,6.99561,6.99416
0.075,1,33.1193,-21.6185,7.01087,7.00941
0.077,1,33.407,-21.5908,7.02605,7.02459
0.079,1,33.695,-21.5628,7.04115,7.03968
0.081,1,33.9833,-21.5345,7.05616,7.05469
0.083,1,34.2719,-21.5059,7.0711,7.06962
0.085,1,34.5608,-21.477,7.08596,7.08447
0.087,1,34.85,-21.4479,7.10073,7.09925
0.089,1,35.1395,-21.4184,7.11543,7.11394
0.091,1,35.4292,-21.3887,7.13006,7.12856
0.093,1,35.7191,-21.3587,7.1446,7.1431
0.095,1,36.0093,-21.3284,7.15907,7.15756
0.097,1,36.2997,-21.2978,7.17346,7.17195
0.099,1,36.5904,-21.267,7.18778,7.18626
0.101,1,36.8812,-21.2359,7.20202,7.2005
0.103,1,37.1722,-21.2046,7.21618,7.21466
0.105,1,37.4634,-21.173,7.23027,7.22875
