x,E_0,F_0,E+F,E-F
0.001,8.575,0,8.56032,8.35012
0.003,8.575,0,8.35024,8.3497
0.005,8.575,0,8.14264,8.34981
0.007,8.575,0,7.93783,8.35043
0.009,8.575,0,7.73615,8.35155
0.011,8.575,0,7.53792,8.35318
0.013,8.575,0,7.34344,8.35529
0.015,8.575,0,7.15303,8.35787
0.017,8.575,0,6.96696,8.36091
0.019,8.575,0,6.78553,8.3644
0.021,8.575,0,6.609,8.36832
0.023,8.575,0,6.43765,8.37267
0.025,8.575,0,6.27171,8.37742
0.027,8.575,0,6.11144,8.38257
0.029,8.575,0,5.95706,8.38809
0.031,8.575,0,5.8088,8.39398
0.033,8.575,0,5.66686,8.40021
0.035,8.575,0,5.53144,8.40677
0.037,8.575,0,5.40273,8.41365
0.039,8.575,0,5.2809,8.42083
0.041,8.575,0,5.1661,8.42828
0.043,8.575,0,5.0585,8.43601
0.045,8.575,0,4.95823,8.44398
0.047,8.575,0,4.8654,8.45219
0.049,8.575,0,4.78014,8.46061
0.051,8.575,0,4.70253,8.46923
0.053,8.575,0,4.63267,8.47803
0.055,8.575,0,4.57061,8.48699
0.057,8.575,0,4.51642,8.49611
0.059,8.575,0,4.47014,8.50535
0.061,8.575,0,4.43179,8.51471
0.063,8.575,0,4.40139,8.52416
0.065,8.575,0,4.37893,8.53369
0.067,8.575,0,4.3644,8.54328
0.069,8.575,0,4.35777,8.55292
0.071,8.575,0,4.359,8.56259
0.073,8.575,0,4.36798,8.57226
0.075,8.575,0,4.38468,8.58194
0.077,8.575,0,4.409,8.59159
0.079,8.575,0,4.44083,8.6012
0.081,8.575,0,4.48005,8.61076
0.083,8.575,0,4.52653,8.62024
0.085,8.575,0,4.5801,8.62964
0.087,8.575,0,4.64062,8.63893
0.089,8.575,0,4.7079,8.64811
0.091,8.575,0,4.78175,8.65715
0.093,8.575,0,4.86198,8.66604
0.095,8.575,0,4.94837,8.67477
0.097,8.575,0,5.04069,8.68332
0.099,8.575,0,5.13871,8.69168
0.101,8.575,0,5.24218,8.69983
0.103,8.575,0,5.35085,8.70776
0.105,8.575,0,5.46445,8.71545
0.107,8.575,0,5.58272,8.7229
0.109,8.575,0,5.70537,8.73009
0.111,8.575,0,5.83212,8.73701
0.113,8.575,0,5.96268,8.74364
0.115,8.575,0,6.09675,8.74999
0.117,8.575,0,6.23403,8.75603
0.119,8.575,0,6.37423,8.76177
0.121,8.575,0,6.51703,8.76718
0.123,8.575,0,6.66212,8.77226
0.125,8.575,0,6.80921,8.777
0.127,8.575,0,6.95798,8.78141
0.129,8.575,0,7.10812,8.78546
0.131,8.575,0,7.25933,8.78916
0.133,8.575,0,7.41131,8.7925
0.135,8.575,0,7.56374,8.79548
0.137,8.575,0,7.71634,8.79809
0.139,8.575,0,7.86881,8.80033
0.141,8.575,0,8.02086,8.80221
0.143,8.575,0,8.1722,8.80371
0.145,8.575,0,8.32256,8.80484
0.147,8.575,0,8.47166,8.80561
0.149,8.575,0,8.61924,8.806
0.151,8.575,0,8.76503,8.80604
0.153,8.575,0,8.90879,8.80571
0.155,8.575,0,9.05026,8.80503
0.157,8.575,0,9.18923,8.80399
0.159,8.575,0,9.32544,8.80262
0.161,8.575,0,9.4587,8.8009
0.163,8.575,0,9.58879,8.79886
0.165,8.575,0,9.7155,8.7965
0.167,8.575,0,9.83866,8.79382
0.169,8.575,0,9.95807,8.79084
0.171,8.575,0,10.0736,8.78757
0.173,8.575,0,10.185,8.78402
0.175,8.575,0,10.2922,8.78021
0.177,8.575,0,10.395,8.77614
0.179,8.575,0,10.4934,8.77182
0.181,8.575,0,10.5871,8.76728
0.183,8.575,0,10.6761,8.76251
0.185,8.575,0,10.7603,8.75755
0.187,8.575,0,10.8396,8.7524
0.189,8.575,0,10.9139,8.74707
0.191,8.575,0,10.9831,8.74158
0.193,8.575,0,11.0472,8.73595
0.195,8.575,0,11.1061,8.73019
0.197,8.575,0,11.1598,8.72431
0.199,8.575,0,11.2083,8.71832
0.201,8.575,0,11.2515,8.71225
0.203,8.575,0,11.2895,8.7061
0.205,8.575,0,11.3222,8.69989
0.207,8.575,0,11.3496,8.69363
0.209,8.575,0,11.3718,8.68734
0.211,8.575,0,11.3888,8.68102
0.213,8.575,0,11.4006,8.6747
0.215,8.575,0,11.4072,8.66838
0.217,8.575,0,11.4088,8.66208
0.219,8.575,0,11.4053,8.6558
0.221,8.575,0,11.3969,8.64956
0.223,8.575,0,11.3834,8.64338
0.225,8.575,0,11.3652,8.63725
0.227,8.575,0,11.3423,8.6312
0.229,8.575,0,11.3147,8.62523
0.231,8.575,0,11.2826,8.61935
0.233,8.575,0,11.246,8.61358
0.235,8.575,0,11.2051,8.60791
0.237,8.575,0,11.1599,8.60237
0.239,8.575,0,11.1107,8.59695
0.241,8.575,0,11.0575,8.59167
0.243,8.575,0,11.0004,8.58653
0.245,8.575,0,10.9396,8.58154
0.247,8.575,0,10.8753,8.57671
0.249,8.575,0,10.8075,8.57205
0.251,8.575,0,10.7364,8.56755
0.253,8.575,0,10.6622,8.56324
0.255,8.575,0,10.585,8.5591
0.257,8.575,0,10.505,8.55514
0.259,8.575,0,10.4223,8.55138
0.261,8.575,0,10.3371,8.54781
0.263,8.575,0,10.2495,8.54443
0.265,8.575,0,10.1597,8.54126
0.267,8.575,0,10.068,8.53828
0.269,8.575,0,9.97437,8.53551
0.271,8.575,0,9.87908,8.53295
0.273,8.575,0,9.78229,8.53059
0.275,8.575,0,9.68416,8.52844
0.277,8.575,0,9.58487,8.5265
0.279,8.575,0,9.48458,8.52477
0.281,8.575,0,9.38349,8.52324
0.283,8.575,0,9.28176,8.52192
0.285,8.575,0,9.17956,8.52081
0.287,8.575,0,9.07707,8.5199
0.289,8.575,0,8.97446,8.51919
0.291,8.575,0,8.87191,8.51868
0.293,8.575,0,8.7696,8.51836
0.295,8.575,0,8.66768,8.51824
0.297,8.575,0,8.56634,8.51831
0.299,8.575,0,8.46574,8.51857
0.301,8.575,0,8.36605,8.519
0.303,8.575,0,8.26745,8.51962
0.305,8.575,0,8.17008,8.5204
0.307,8.575,0,8.07413,8.52136
0.309,8.575,0,7.97974,8.52248
0.311,8.575,0,7.88708,8.52375
0.313,8.575,0,7.7963,8.52518
0.315,8.575,0,7.70755,8.52675
0.317,8.575,0,7.62099,8.52846
0.319,8.575,0,7.53675,8.5303
0.321,8.575,0,7.45499,8.53227
0.323,8.575,0,7.37584,8.53436
0.325,8.575,0,7.29944,8.53657
0.327,8.575,0,7.2259,8.53888
0.329,8.575,0,7.15537,8.54128
0.331,8.575,0,7.08795,8.54378
0.333,8.575,0,7.02377,8.54637
0.335,8.575,0,6.96293,8.54903
0.337,8.575,0,6.90553,8.55176
0.339,8.575,0,6.85167,8.55455
0.341,8.575,0,6.80143,8.55739
0.343,8.575,0,6.75491,8.56029
0.345,8.575,0,6.71217,8.56322
0.347,8.575,0,6.67328,8.56618
0.349,8.575,0,6.63829,8.56917
0.351,8.575,0,6.60727,8.57218
0.353,8.575,0,6.58025,8.57519
0.355,8.575,0,6.55726,8.57821
0.357,8.575,0,6.53833,8.58122
0.359,8.575,0,6.52347,8.58422
0.361,8.575,0,6.51269,8.5872
0.363,8.575,0,6.50599,8.59016
0.365,8.575,0,6.50338,8.59309
0.367,8.575,0,6.5048,8.59597
0.369,8.575,0,6.51017,8.59881
0.371,8.575,0,6.51951,8.6016
0.373,8.575,0,6.53278,8.60434
0.375,8.575,0,6.54991,8.60701
0.377,8.575,0,6.57082,8.60961
0.379,8.575,0,6.59543,8.61215
0.381,8.575,0,6.62366,8.6146
0.383,8.575,0,6.65541,8.61697
0.385,8.575,0,6.69057,8.61926
0.387,8.575,0,6.72905,8.62146
0.389,8.575,0,6.77072,8.62356
0.391,8.575,0,6.81545,8.62557
0.393,8.575,0,6.86312,8.62747
0.395,8.575,0,6.91359,8.62928
0.397,8.575,0,6.96673,8.63098
0.399,8.575,0,7.02238,8.63257
0.401,8.575,0,7.0804,8.63406
0.403,8.575,0,7.14063,8.63544
0.405,8.575,0,7.20293,8.6367
0.407,8.575,0,7.26713,8.63786
0.409,8.575,0,7.33308,8.6389
0.411,8.575,0,7.40061,8.63983
0.413,8.575,0,7.46957,8.64066
0.415,8.575,0,7.53979,8.64137
0.417,8.575,0,7.61111,8.64197
0.419,8.575,0,7.68337,8.64247
0.421,8.575,0,7.75641,8.64286
0.423,8.575,0,7.83008,8.64314
0.425,8.575,0,7.90421,8.64332
0.427,8.575,0,7.97866,8.6434
0.429,8.575,0,8.05326,8.64338
0.431,8.575,0,8.12788,8.64327
0.433,8.575,0,8.20237,8.64307
0.435,8.575,0,8.27658,8.64277
0.437,8.575,0,8.35038,8.6424
0.439,8.575,0,8.42363,8.64194
0.441,8.575,0,8.49619,8.6414
0.443,8.575,0,8.56795,8.64078
0.445,8.575,0,8.63878,8.6401
0.447,8.575,0,8.70856,8.63935
0.449,8.575,0,8.77718,8.63854
0.451,8.575,0,8.84453,8.63767
