t,E_left+F_left,E_left-F_left,E_right+F_right,E_right-F_right
0,8.575,8.575,8.575,8.575
6.62207e-06,28.373,8.57598,8.575,8.575
1.32441e-05,28.5719,8.5761,8.575,8.575
1.98662e-05,28.5739,8.5772,8.575,8.575
2.64883e-05,28.5739,8.57731,8.575,8.575
3.31104e-05,28.5739,8.57838,8.575,8.575
3.97324e-05,28.5739,8.57851,8.575,8.575
4.63545e-05,28.5739,8.57956,8.575,8.575
5.29766e-05,28.5739,8.57971,8.575,8.575
5.95987e-05,28.5739,8.58075,8.575,8.575
6.62207e-05,28.5739,8.58092,8.575,8.575
7.28428e-05,28.5739,8.58194,8.575,8.575
7.94649e-05,28.5739,8.58213,8.575,8.575
8.6087e-05,28.5739,8.58313,8.575,8.575
9.2709e-05,28.5739,8.58333,8.575,8.575
9.93311e-05,28.5739,8.58432,8.575,8.575
0.000105953,28.5739,8.58454,8.575,8.575
0.000112575,28.5739,8.58551,8.575,8.575
0.000119197,28.5739,8.58575,8.575,8.575
0.000125819,28.5739,8.5867,8.575,8.575
0.000132441,28.5739,8.58695,8.575,8.575
0.000139064,28.5739,8.58789,8.575,8.575
0.000145686,28.5739,8.58816,8.575,8.575
0.000152308,28.5739,8.58908,8.575,8.575
0.00015893,28.5739,8.58936,8.575,8.575
0.000165552,28.5739,8.59028,8.575,8.575
0.000172174,28.5739,8.59057,8.575,8.575
0.000178796,28.5739,8.59147,8.575,8.575
0.000185418,28.5739,8.59177,8.575,8.575
0.00019204,28.5739,8.59266,8.575,8.575
0.000198662,28.5739,8.59297,8.575,8.575
0.000205284,28.5739,8.59385,8.575,8.575
0.000211906,28.5739,8.59418,8.575,8.575
0.000218528,28.5739,8.59504,8.575,8.575
0.000225151,28.5739,8.59538,8.575,8.575
0.000231773,28.5739,8.59623,8.575,8.575
0.000238395,28.5739,8.59658,8.575,8.575
0.000245017,28.5739,8.59742,8.575,8.575
0.000251639,28.5739,8.59778,8.575,8.575
0.000258261,28.5739,8.59861,8.575,8.575
0.000264883,28.5739,8.59898,8.575,8.575
0.000271505,28.5739,8.5998,8.575,8.575
0.000278127,28.5739,8.60018,8.575,8.575
0.000284749,28.5739,8.60099,8.575,8.575
0.000291371,28.5739,8.60137,8.575,8.575
0.000297993,28.5739,8.60218,8.575,8.575
0.000304615,28.5739,8.60257,8.575,8.575
0.000311237,28.5739,8.60337,8.575,8.575
0.00031786,28.5739,8.60377,8.575,8.575
0.000324482,28.5739,8.60456,8.575,8.575
0.000331104,28.5739,8.60497,8.575,8.575
0.000337726,28.5739,8.60574,8.575,8.575
0.000344348,28.5739,8.60616,8.575,8.575
0.00035097,28.5739,8.60693,8.575,8.575
0.000357592,28.5739,8.60736,8.575,8.575
0.000364214,28.5739,8.60812,8.575,8.575
0.000370836,28.5739,8.60855,8.575,8.575
0.000377458,28.5739,8.60931,8.575,8.575
0.00038408,28.5739,8.60974,8.575,8.575
0.000390702,28.5739,8.61049,8.575,8.575
0.000397324,28.5739,8.61094,8.575,8.575
0.000403946,28.5739,8.61168,8.575,8.575
0.000410569,28.5739,8.61213,8.575,8.575
0.000417191,28.5739,8.61287,8.575,8.575
0.000423813,28.5739,8.61332,8.575,8.575
0.000430435,28.5739,8.61405,8.575,8.575
0.000437057,28.5739,8.61451,8.575,8.575
0.000443679,28.5739,8.61524,8.575,8.575
0.000450301,28.5739,8.6157,8.575,8.575
0.000456923,28.5739,8.61642,8.575,8.575
0.000463545,28.5739,8.61689,8.575,8.575
0.000470167,28.5739,8.61761,8.575,8.575
0.000476789,28.5739,8.61808,8.575,8.575
0.000483411,28.5739,8.61879,8.575,8.575
0.000490033,28.5739,8.61927,8.575,8.575
0.000496656,28.5739,8.61997,8.575,8.575
0.000503278,28.5739,8.62046,8.575,8.575
0.0005099,28.5739,8.62116,8.575,8.575
0.000516522,28.5739,8.62165,8.575,8.575
0.000523144,28.5739,8.62235,8.575,8.575
0.000529766,28.5739,8.62284,8.575,8.575
0.000536388,28.5739,8.62354,8.575,8.575
0.00054301,28.5739,8.62404,8.575,8.575
0.000549632,28.5739,8.62473,8.575,8.575
0.000556254,28.5739,8.62524,8.575,8.575
0.000562876,28.5739,8.62593,8.575,8.575
0.000569498,28.5739,8.62643,8.575,8.575
0.00057612,28.5739,8.62712,8.575,8.575
0.000582742,28.5739,8.62763,8.575,8.575
0.000589365,28.5739,8.62831,8.575,8.575
0.000595987,28.5739,8.62882,8.575,8.575
0.000602609,28.5739,8.6295,8.575,8.575
0.000609231,28.5739,8.63002,8.575,8.575
0.000615853,28.5739,8.63069,8.575,8.575
0.000622475,28.5739,8.63121,8.575,8.575
0.000629097,28.5739,8.63188,8.575,8.575
0.000635719,28.5739,8.6324,8.575,8.575
0.000642341,28.5739,8.63307,8.575,8.575
0.000648963,28.5739,8.63359,8.575,8.575
0.000655585,28.5739,8.63426,8.575,8.575
0.000662207,28.5739,8.63479,8.575,8.575
0.000668829,28.5739,8.63545,8.575,8.575
0.000675452,28.5739,8.63598,8.575,8.575
0.000682074,28.5739,8.63664,8.575,8.575
0.000688696,28.5739,8.63717,8.575,8.575
