x,E_0, E,E_exact
0.001,8.575,21.2531,0
0.003,8.575,21.2525,0
0.005,8.575,21.252,0
0.007,8.575,21.2514,0
0.009,8.575,21.2508,0
0.011,8.575,21.2502,0
0.013,8.575,21.2496,0
0.015,8.575,21.249,0
0.017,8.575,21.2485,0
0.019,8.575,21.2479,0
0.021,8.575,21.2473,0
0.023,8.575,21.2467,0
0.025,8.575,21.2461,0
0.027,8.575,21.2455,0
0.029,8.575,21.2449,0
0.031,8.575,21.2443,0
0.033,8.575,21.2437,0
0.035,8.575,21.2432,0
0.037,8.575,21.2426,0
0.039,8.575,21.242,0
0.041,8.575,21.2414,0
0.043,8.575,21.2408,0
0.045,8.575,21.2403,0
0.047,8.575,21.2397,0
0.049,8.575,21.2391,0
0.051,8.575,21.2385,0
0.053,8.575,21.2379,0
0.055,8.575,21.2373,0
0.057,8.575,21.2368,0
0.059,8.575,21.2362,0
0.061,8.575,21.2356,0
0.063,8.575,21.235,0
0.065,8.575,21.2344,0
0.067,8.575,21.2339,0
0.069,8.575,21.2333,0
0.071,8.575,21.2327,0
0.073,8.575,21.2321,0
0.075,8.575,21.2315,0
0.077,8.575,21.2309,0
0.079,8.575,21.2303,0
0.081,8.575,21.2298,0
0.083,8.575,21.2292,0
0.085,8.575,21.2286,0
0.087,8.575,21.228,0
0.089,8.575,21.2274,0
0.091,8.575,21.2268,0
0.093,8.575,21.2262,0
0.095,8.575,21.2257,0
0.097,8.575,21.2251,0
0.099,8.575,21.2245,0
0.101,8.575,21.2239,0
0.103,8.575,21.2233,0
0.105,8.575,21.2227,0
0.107,8.575,21.2222,0
0.109,8.575,21.2216,0
0.111,8.575,21.221,0
0.113,8.575,21.2204,0
0.115,8.575,21.2198,0
0.117,8.575,21.2192,0
0.119,8.575,21.2187,0
0.121,8.575,21.2181,0
0.123,8.575,21.2175,0
0.125,8.575,21.2169,0
0.127,8.575,21.2163,0
0.129,8.575,21.2158,0
0.131,8.575,21.2152,0
0.133,8.575,21.2146,0
0.135,8.575,21.214,0
0.137,8.575,21.2135,0
0.139,8.575,21.2129,0
0.141,8.575,21.2123,0
0.143,8.575,21.2117,0
0.145,8.575,21.2111,0
0.147,8.575,21.2105,0
0.149,8.575,21.21,0
0.151,8.575,21.2094,0
0.153,8.575,21.2088,0
0.155,8.575,21.2082,0
0.157,8.575,21.2076,0
0.159,8.575,21.2071,0
0.161,8.575,21.2065,0
0.163,8.575,21.2059,0
0.165,8.575,21.2053,0
0.167,8.575,21.2047,0
0.169,8.575,21.2042,0
0.171,8.575,21.2036,0
0.173,8.575,21.203,0
0.175,8.575,21.2024,0
0.177,8.575,21.2018,0
0.179,8.575,21.2012,0
0.181,8.575,21.2006,0
0.183,8.575,21.2,0
0.185,8.575,21.1995,0
0.187,8.575,21.1989,0
