x,T_radiation,T_matter
0.001,4.96257,4.97847
0.003,4.9469,4.96282
0.005,4.93135,4.94725
0.007,4.91593,4.9318
0.009,4.90069,4.91649
0.011,4.88565,4.90134
0.013,4.87084,4.8864
0.015,4.85629,4.87169
0.017,4.84202,4.85724
0.019,4.82808,4.84308
0.021,4.81449,4.82923
0.023,4.80127,4.81573
0.025,4.78846,4.80261
0.027,4.77609,4.78989
0.029,4.76418,4.7776
0.031,4.75276,4.76578
0.033,4.74186,4.75444
0.035,4.7315,4.74361
0.037,4.72171,4.73333
0.039,4.71251,4.72361
0.041,4.70392,4.71447
0.043,4.69597,4.70595
0.045,4.68867,4.69805
0.047,4.68204,4.6908
0.049,4.6761,4.68422
0.051,4.67085,4.67831
0.053,4.66631,4.6731
0.055,4.6625,4.6686
0.057,4.65941,4.66481
0.059,4.65705,4.66174
0.061,4.65543,4.6594
0.063,4.65454,4.65779
0.065,4.65438,4.6569
0.067,4.65495,4.65675
0.069,4.65624,4.65731
0.071,4.65859,4.65859
0.073,4.66094,4.66058
0.075,4.66432,4.66325
0.077,4.66838,4.66661
0.079,4.67308,4.67064
0.081,4.67841,4.67531
0.083,4.68435,4.6806
0.085,4.69088,4.6865
0.087,4.69796,4.69298
0.089,4.70558,4.70002
0.091,4.71371,4.70759
0.093,4.72232,4.71567
0.095,4.73137,4.72422
0.097,4.74085,4.73321
0.099,4.75071,4.74263
0.101,4.76094,4.75243
0.103,4.77149,4.76258
0.105,4.78233,4.77307
0.107,4.79344,4.78384
0.109,4.80479,4.79488
0.111,4.81634,4.80616
0.113,4.82807,4.81764
0.115,4.83993,4.82928
0.117,4.85192,4.84108
0.119,4.86399,4.85299
0.121,4.87612,4.86498
0.123,4.88828,4.87703
0.125,4.90045,4.88912
0.127,4.9126,4.90121
0.129,4.9247,4.91328
0.131,4.93674,4.92531
0.133,4.94869,4.93727
0.135,4.96053,4.94914
0.137,4.97224,4.9609
0.139,4.98379,4.97253
0.141,4.99518,4.98401
0.143,5.00638,4.99533
0.145,5.01738,5.00645
