x_min,x_max,N,c,a,C_v,CFL,epsilon,t_final,x,rho_exp,sigma_a_expr,sigma_c_expr,E_x_0_expr,F_x_0_expr,T_x_0_expr,dt,time_steps,rho,sigma_a,sigma_c,E_init,E_final,F_init,F_final,T_init,T_final
0,10,10,1,1,1,0.99,0.0001,10,"0","0","0","exp(-((x-5)^2)/(2*(0.5^2)))","0","1",0.99,11,"[0.5, 1.5, 2.5, 3.5, 4.5, 5.5, 6.5, 7.5, 8.5, 9.5]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.92875e-22, 1.92875e-22, 1.92875e-22, 1.92875e-22, 1.92875e-22, 1.92875e-22, 1.92875e-22, 1.92875e-22, 1.92875e-22, 1.92875e-22]","[3.81537e-10, 3.48769e-12, 2.32983e-14, 1.11219e-16, 3.63063e-19, 3.63063e-19, 1.11219e-16, 2.32983e-14, 3.48769e-12, 3.81537e-10]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[-3.81537e-10, -3.48769e-12, -2.32983e-14, -1.11219e-16, -3.61591e-19, 3.61591e-19, 1.11219e-16, 2.32983e-14, 3.48769e-12, 3.81537e-10]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
0,10,10,1,1,1,0.99,0.0001,10,"0.5","0","0","exp(-((x-5)^2)/(2*(0.5^2)))","0","1",0.99,11,"[0.5, 1.5, 2.5, 3.5, 4.5, 5.5, 6.5, 7.5, 8.5, 9.5]","[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.92875e-22, 1.92875e-22, 1.92875e-22, 1.92875e-22, 1.92875e-22, 1.92875e-22, 1.92875e-22, 1.92875e-22, 1.92875e-22, 1.92875e-22]","[3.81537e-10, 3.48769e-12, 2.32983e-14, 1.11219e-16, 3.63063e-19, 3.63063e-19, 1.11219e-16, 2.32983e-14, 3.48769e-12, 3.81537e-10]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[-3.81537e-10, -3.48769e-12, -2.32983e-14, -1.11219e-16, -3.61591e-19, 3.61591e-19, 1.11219e-16, 2.32983e-14, 3.48769e-12, 3.81537e-10]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
0,10,10,1,1,1,0.99,0.0001,10,"1","0","0","exp(-((x-5)^2)/(2*(0.5^2)))","0","1",0.99,11,"[0.5, 1.5, 2.5, 3.5, 4.5, 5.5, 6.5, 7.5, 8.5, 9.5]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.92875e-22, 1.92875e-22, 1.92875e-22, 1.92875e-22, 1.92875e-22, 1.92875e-22, 1.92875e-22, 1.92875e-22, 1.92875e-22, 1.92875e-22]","[3.81537e-10, 3.48769e-12, 2.32983e-14, 1.11219e-16, 3.63063e-19, 3.63063e-19, 1.11219e-16, 2.32983e-14, 3.48769e-12, 3.81537e-10]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[-3.81537e-10, -3.48769e-12, -2.32983e-14, -1.11219e-16, -3.61591e-19, 3.61591e-19, 1.11219e-16, 2.32983e-14, 3.48769e-12, 3.81537e-10]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
0,10,10,1,1,1,0.99,0.0001,10,"1.5","0","0","exp(-((x-5)^2)/(2*(0.5^2)))","0","1",0.99,11,"[0.5, 1.5, 2.5, 3.5, 4.5, 5.5, 6.5, 7.5, 8.5, 9.5]","[1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.92875e-22, 1.92875e-22, 1.92875e-22, 1.92875e-22, 1.92875e-22, 1.92875e-22, 1.92875e-22, 1.92875e-22, 1.92875e-22, 1.92875e-22]","[3.81537e-10, 3.48769e-12, 2.32983e-14, 1.11219e-16, 3.63063e-19, 3.63063e-19, 1.11219e-16, 2.32983e-14, 3.48769e-12, 3.81537e-10]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[-3.81537e-10, -3.48769e-12, -2.32983e-14, -1.11219e-16, -3.61591e-19, 3.61591e-19, 1.11219e-16, 2.32983e-14, 3.48769e-12, 3.81537e-10]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
0,10,10,1,1,1,0.99,0.0001,10,"2","0","0","exp(-((x-5)^2)/(2*(0.5^2)))","0","1",0.99,11,"[0.5, 1.5, 2.5, 3.5, 4.5, 5.5, 6.5, 7.5, 8.5, 9.5]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.92875e-22, 1.92875e-22, 1.92875e-22, 1.92875e-22, 1.92875e-22, 1.92875e-22, 1.92875e-22, 1.92875e-22, 1.92875e-22, 1.92875e-22]","[3.81537e-10, 3.48769e-12, 2.32983e-14, 1.11219e-16, 3.63063e-19, 3.63063e-19, 1.11219e-16, 2.32983e-14, 3.48769e-12, 3.81537e-10]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[-3.81537e-10, -3.48769e-12, -2.32983e-14, -1.11219e-16, -3.61591e-19, 3.61591e-19, 1.11219e-16, 2.32983e-14, 3.48769e-12, 3.81537e-10]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
0,10,10,1,1,1,0.99,0.0001,10,"2.5","0","0","exp(-((x-5)^2)/(2*(0.5^2)))","0","1",0.99,11,"[0.5, 1.5, 2.5, 3.5, 4.5, 5.5, 6.5, 7.5, 8.5, 9.5]","[2.5, 2.5, 2.5, 2.5, 2.5, 2.5, 2.5, 2.5, 2.5, 2.5]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.92875e-22, 1.92875e-22, 1.92875e-22, 1.92875e-22, 1.92875e-22, 1.92875e-22, 1.92875e-22, 1.92875e-22, 1.92875e-22, 1.92875e-22]","[3.81537e-10, 3.48769e-12, 2.32983e-14, 1.11219e-16, 3.63063e-19, 3.63063e-19, 1.11219e-16, 2.32983e-14, 3.48769e-12, 3.81537e-10]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[-3.81537e-10, -3.48769e-12, -2.32983e-14, -1.11219e-16, -3.61591e-19, 3.61591e-19, 1.11219e-16, 2.32983e-14, 3.48769e-12, 3.81537e-10]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
0,10,10,1,1,1,0.99,0.0001,10,"3","0","0","exp(-((x-5)^2)/(2*(0.5^2)))","0","1",0.99,11,"[0.5, 1.5, 2.5, 3.5, 4.5, 5.5, 6.5, 7.5, 8.5, 9.5]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.92875e-22, 1.92875e-22, 1.92875e-22, 1.92875e-22, 1.92875e-22, 1.92875e-22, 1.92875e-22, 1.92875e-22, 1.92875e-22, 1.92875e-22]","[3.81537e-10, 3.48769e-12, 2.32983e-14, 1.11219e-16, 3.63063e-19, 3.63063e-19, 1.11219e-16, 2.32983e-14, 3.48769e-12, 3.81537e-10]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[-3.81537e-10, -3.48769e-12, -2.32983e-14, -1.11219e-16, -3.61591e-19, 3.61591e-19, 1.11219e-16, 2.32983e-14, 3.48769e-12, 3.81537e-10]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
0,10,10,1,1,1,0.99,0.0001,10,"3.5","0","0","exp(-((x-5)^2)/(2*(0.5^2)))","0","1",0.99,11,"[0.5, 1.5, 2.5, 3.5, 4.5, 5.5, 6.5, 7.5, 8.5, 9.5]","[3.5, 3.5, 3.5, 3.5, 3.5, 3.5, 3.5, 3.5, 3.5, 3.5]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.92875e-22, 1.92875e-22, 1.92875e-22, 1.92875e-22, 1.92875e-22, 1.92875e-22, 1.92875e-22, 1.92875e-22, 1.92875e-22, 1.92875e-22]","[3.81537e-10, 3.48769e-12, 2.32983e-14, 1.11219e-16, 3.63063e-19, 3.63063e-19, 1.11219e-16, 2.32983e-14, 3.48769e-12, 3.81537e-10]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[-3.81537e-10, -3.48769e-12, -2.32983e-14, -1.11219e-16, -3.61591e-19, 3.61591e-19, 1.11219e-16, 2.32983e-14, 3.48769e-12, 3.81537e-10]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
0,10,10,1,1,1,0.99,0.0001,10,"4","0","0","exp(-((x-5)^2)/(2*(0.5^2)))","0","1",0.99,11,"[0.5, 1.5, 2.5, 3.5, 4.5, 5.5, 6.5, 7.5, 8.5, 9.5]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.92875e-22, 1.92875e-22, 1.92875e-22, 1.92875e-22, 1.92875e-22, 1.92875e-22, 1.92875e-22, 1.92875e-22, 1.92875e-22, 1.92875e-22]","[3.81537e-10, 3.48769e-12, 2.32983e-14, 1.11219e-16, 3.63063e-19, 3.63063e-19, 1.11219e-16, 2.32983e-14, 3.48769e-12, 3.81537e-10]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[-3.81537e-10, -3.48769e-12, -2.32983e-14, -1.11219e-16, -3.61591e-19, 3.61591e-19, 1.11219e-16, 2.32983e-14, 3.48769e-12, 3.81537e-10]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
0,10,10,1,1,1,0.99,0.0001,10,"4.5","0","0","exp(-((x-5)^2)/(2*(0.5^2)))","0","1",0.99,11,"[0.5, 1.5, 2.5, 3.5, 4.5, 5.5, 6.5, 7.5, 8.5, 9.5]","[4.5, 4.5, 4.5, 4.5, 4.5, 4.5, 4.5, 4.5, 4.5, 4.5]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.92875e-22, 1.92875e-22, 1.92875e-22, 1.92875e-22, 1.92875e-22, 1.92875e-22, 1.92875e-22, 1.92875e-22, 1.92875e-22, 1.92875e-22]","[3.81537e-10, 3.48769e-12, 2.32983e-14, 1.11219e-16, 3.63063e-19, 3.63063e-19, 1.11219e-16, 2.32983e-14, 3.48769e-12, 3.81537e-10]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[-3.81537e-10, -3.48769e-12, -2.32983e-14, -1.11219e-16, -3.61591e-19, 3.61591e-19, 1.11219e-16, 2.32983e-14, 3.48769e-12, 3.81537e-10]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
