x_min,x_max,N,c,a,C_v,CFL,epsilon,t_final,rho_exp,sigma_a_expr,sigma_c_expr,E_x_0_expr,F_x_0_expr,T_x_0_expr,dt,time_steps,E_0,E_N,F_0,F_N,T_0,T_N
0,10,10,1,1,1,0.99,0.0001,10,"0","0","0","exp(-((x-5)^2)/(2*(0.5^2)))","0","1",0.99,11,"[2.57676e-18, 1.13342e-11, 1.82625e-06, 0.00538958, 0.291531, 0.302973, 0.0229707, 0.000983641, 3.11359e-05, 8.12585e-07, 1.85192e-08]","[2.57676e-18, 1.13342e-11, 1.82625e-06, 0.00538958, 0.291531, 0.302973, 0.0229707, 0.000983641, 3.11359e-05, 8.12585e-07, 1.85192e-08]","[0, -1.13342e-11, -1.82625e-06, -0.00538958, -0.291531, -0.302973, -0.0229707, -0.000983641, -3.11359e-05, -8.12585e-07, -1.85192e-08]","[0, 1.13342e-11, 1.82625e-06, 0.00538958, 0.291531, 0.302973, 0.0229707, 0.000983641, 3.11359e-05, 8.12585e-07, 1.85192e-08]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
0,10,10,1,1,1,0.99,0.0001,10,"0.5","0","0","exp(-((x-5)^2)/(2*(0.5^2)))","0","1",0.99,11,"[2.57676e-18, 1.13342e-11, 1.82625e-06, 0.00538958, 0.291531, 0.302973, 0.0229707, 0.000983641, 3.11359e-05, 8.12585e-07, 1.85192e-08]","[2.57676e-18, 1.13342e-11, 1.82625e-06, 0.00538958, 0.291531, 0.302973, 0.0229707, 0.000983641, 3.11359e-05, 8.12585e-07, 1.85192e-08]","[0, -1.13342e-11, -1.82625e-06, -0.00538958, -0.291531, -0.302973, -0.0229707, -0.000983641, -3.11359e-05, -8.12585e-07, -1.85192e-08]","[0, 1.13342e-11, 1.82625e-06, 0.00538958, 0.291531, 0.302973, 0.0229707, 0.000983641, 3.11359e-05, 8.12585e-07, 1.85192e-08]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
0,10,10,1,1,1,0.99,0.0001,10,"1","0","0","exp(-((x-5)^2)/(2*(0.5^2)))","0","1",0.99,11,"[2.57676e-18, 1.13342e-11, 1.82625e-06, 0.00538958, 0.291531, 0.302973, 0.0229707, 0.000983641, 3.11359e-05, 8.12585e-07, 1.85192e-08]","[2.57676e-18, 1.13342e-11, 1.82625e-06, 0.00538958, 0.291531, 0.302973, 0.0229707, 0.000983641, 3.11359e-05, 8.12585e-07, 1.85192e-08]","[0, -1.13342e-11, -1.82625e-06, -0.00538958, -0.291531, -0.302973, -0.0229707, -0.000983641, -3.11359e-05, -8.12585e-07, -1.85192e-08]","[0, 1.13342e-11, 1.82625e-06, 0.00538958, 0.291531, 0.302973, 0.0229707, 0.000983641, 3.11359e-05, 8.12585e-07, 1.85192e-08]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
0,10,10,1,1,1,0.99,0.0001,10,"1.5","0","0","exp(-((x-5)^2)/(2*(0.5^2)))","0","1",0.99,11,"[2.57676e-18, 1.13342e-11, 1.82625e-06, 0.00538958, 0.291531, 0.302973, 0.0229707, 0.000983641, 3.11359e-05, 8.12585e-07, 1.85192e-08]","[2.57676e-18, 1.13342e-11, 1.82625e-06, 0.00538958, 0.291531, 0.302973, 0.0229707, 0.000983641, 3.11359e-05, 8.12585e-07, 1.85192e-08]","[0, -1.13342e-11, -1.82625e-06, -0.00538958, -0.291531, -0.302973, -0.0229707, -0.000983641, -3.11359e-05, -8.12585e-07, -1.85192e-08]","[0, 1.13342e-11, 1.82625e-06, 0.00538958, 0.291531, 0.302973, 0.0229707, 0.000983641, 3.11359e-05, 8.12585e-07, 1.85192e-08]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
0,10,10,1,1,1,0.99,0.0001,10,"2","0","0","exp(-((x-5)^2)/(2*(0.5^2)))","0","1",0.99,11,"[2.57676e-18, 1.13342e-11, 1.82625e-06, 0.00538958, 0.291531, 0.302973, 0.0229707, 0.000983641, 3.11359e-05, 8.12585e-07, 1.85192e-08]","[2.57676e-18, 1.13342e-11, 1.82625e-06, 0.00538958, 0.291531, 0.302973, 0.0229707, 0.000983641, 3.11359e-05, 8.12585e-07, 1.85192e-08]","[0, -1.13342e-11, -1.82625e-06, -0.00538958, -0.291531, -0.302973, -0.0229707, -0.000983641, -3.11359e-05, -8.12585e-07, -1.85192e-08]","[0, 1.13342e-11, 1.82625e-06, 0.00538958, 0.291531, 0.302973, 0.0229707, 0.000983641, 3.11359e-05, 8.12585e-07, 1.85192e-08]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
0,10,10,1,1,1,0.99,0.0001,10,"2.5","0","0","exp(-((x-5)^2)/(2*(0.5^2)))","0","1",0.99,11,"[2.57676e-18, 1.13342e-11, 1.82625e-06, 0.00538958, 0.291531, 0.302973, 0.0229707, 0.000983641, 3.11359e-05, 8.12585e-07, 1.85192e-08]","[2.57676e-18, 1.13342e-11, 1.82625e-06, 0.00538958, 0.291531, 0.302973, 0.0229707, 0.000983641, 3.11359e-05, 8.12585e-07, 1.85192e-08]","[0, -1.13342e-11, -1.82625e-06, -0.00538958, -0.291531, -0.302973, -0.0229707, -0.000983641, -3.11359e-05, -8.12585e-07, -1.85192e-08]","[0, 1.13342e-11, 1.82625e-06, 0.00538958, 0.291531, 0.302973, 0.0229707, 0.000983641, 3.11359e-05, 8.12585e-07, 1.85192e-08]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
0,10,10,1,1,1,0.99,0.0001,10,"3","0","0","exp(-((x-5)^2)/(2*(0.5^2)))","0","1",0.99,11,"[2.57676e-18, 1.13342e-11, 1.82625e-06, 0.00538958, 0.291531, 0.302973, 0.0229707, 0.000983641, 3.11359e-05, 8.12585e-07, 1.85192e-08]","[2.57676e-18, 1.13342e-11, 1.82625e-06, 0.00538958, 0.291531, 0.302973, 0.0229707, 0.000983641, 3.11359e-05, 8.12585e-07, 1.85192e-08]","[0, -1.13342e-11, -1.82625e-06, -0.00538958, -0.291531, -0.302973, -0.0229707, -0.000983641, -3.11359e-05, -8.12585e-07, -1.85192e-08]","[0, 1.13342e-11, 1.82625e-06, 0.00538958, 0.291531, 0.302973, 0.0229707, 0.000983641, 3.11359e-05, 8.12585e-07, 1.85192e-08]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
0,10,10,1,1,1,0.99,0.0001,10,"3.5","0","0","exp(-((x-5)^2)/(2*(0.5^2)))","0","1",0.99,11,"[2.57676e-18, 1.13342e-11, 1.82625e-06, 0.00538958, 0.291531, 0.302973, 0.0229707, 0.000983641, 3.11359e-05, 8.12585e-07, 1.85192e-08]","[2.57676e-18, 1.13342e-11, 1.82625e-06, 0.00538958, 0.291531, 0.302973, 0.0229707, 0.000983641, 3.11359e-05, 8.12585e-07, 1.85192e-08]","[0, -1.13342e-11, -1.82625e-06, -0.00538958, -0.291531, -0.302973, -0.0229707, -0.000983641, -3.11359e-05, -8.12585e-07, -1.85192e-08]","[0, 1.13342e-11, 1.82625e-06, 0.00538958, 0.291531, 0.302973, 0.0229707, 0.000983641, 3.11359e-05, 8.12585e-07, 1.85192e-08]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
0,10,10,1,1,1,0.99,0.0001,10,"4","0","0","exp(-((x-5)^2)/(2*(0.5^2)))","0","1",0.99,11,"[2.57676e-18, 1.13342e-11, 1.82625e-06, 0.00538958, 0.291531, 0.302973, 0.0229707, 0.000983641, 3.11359e-05, 8.12585e-07, 1.85192e-08]","[2.57676e-18, 1.13342e-11, 1.82625e-06, 0.00538958, 0.291531, 0.302973, 0.0229707, 0.000983641, 3.11359e-05, 8.12585e-07, 1.85192e-08]","[0, -1.13342e-11, -1.82625e-06, -0.00538958, -0.291531, -0.302973, -0.0229707, -0.000983641, -3.11359e-05, -8.12585e-07, -1.85192e-08]","[0, 1.13342e-11, 1.82625e-06, 0.00538958, 0.291531, 0.302973, 0.0229707, 0.000983641, 3.11359e-05, 8.12585e-07, 1.85192e-08]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
0,10,10,1,1,1,0.99,0.0001,10,"4.5","0","0","exp(-((x-5)^2)/(2*(0.5^2)))","0","1",0.99,11,"[2.57676e-18, 1.13342e-11, 1.82625e-06, 0.00538958, 0.291531, 0.302973, 0.0229707, 0.000983641, 3.11359e-05, 8.12585e-07, 1.85192e-08]","[2.57676e-18, 1.13342e-11, 1.82625e-06, 0.00538958, 0.291531, 0.302973, 0.0229707, 0.000983641, 3.11359e-05, 8.12585e-07, 1.85192e-08]","[0, -1.13342e-11, -1.82625e-06, -0.00538958, -0.291531, -0.302973, -0.0229707, -0.000983641, -3.11359e-05, -8.12585e-07, -1.85192e-08]","[0, 1.13342e-11, 1.82625e-06, 0.00538958, 0.291531, 0.302973, 0.0229707, 0.000983641, 3.11359e-05, 8.12585e-07, 1.85192e-08]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
