t, E_0, E_N, F_0, F_N, T_0, T_N
0, 0, 0, 0, 0, 297, 297
3.30228e-10, 70.6182, 70.6182, 0, 0, 218.79, 218.79
6.60457e-10, 86.1357, 86.1357, 0, 0, 203.682, 203.682
9.90685e-10, 89.4377, 89.4377, 0, 0, 200.583, 200.583
1.32091e-09, 90.1286, 90.1286, 0, 0, 199.94, 199.94
1.65114e-09, 90.2726, 90.2726, 0, 0, 199.806, 199.806
1.98137e-09, 90.3025, 90.3025, 0, 0, 199.778, 199.778
2.3116e-09, 90.3088, 90.3088, 0, 0, 199.772, 199.772
2.64183e-09, 90.3101, 90.3101, 0, 0, 199.771, 199.771
2.97206e-09, 90.3103, 90.3103, 0, 0, 199.771, 199.771
3.30228e-09, 90.3104, 90.3104, 0, 0, 199.771, 199.771
3.63251e-09, 90.3104, 90.3104, 0, 0, 199.771, 199.771
3.96274e-09, 90.3104, 90.3104, 0, 0, 199.771, 199.771
4.29297e-09, 90.3104, 90.3104, 0, 0, 199.771, 199.771
4.6232e-09, 90.3104, 90.3104, 0, 0, 199.771, 199.771
4.95343e-09, 90.3104, 90.3104, 0, 0, 199.771, 199.771
5.28366e-09, 90.3104, 90.3104, 0, 0, 199.771, 199.771
5.61388e-09, 90.3104, 90.3104, 0, 0, 199.771, 199.771
5.94411e-09, 90.3104, 90.3104, 0, 0, 199.771, 199.771
6.27434e-09, 90.3104, 90.3104, 0, 0, 199.771, 199.771
6.60457e-09, 90.3104, 90.3104, 0, 0, 199.771, 199.771
6.9348e-09, 90.3104, 90.3104, 0, 0, 199.771, 199.771
7.26503e-09, 90.3104, 90.3104, 0, 0, 199.771, 199.771
7.59525e-09, 90.3104, 90.3104, 0, 0, 199.771, 199.771
7.92548e-09, 90.3104, 90.3104, 0, 0, 199.771, 199.771
8.25571e-09, 90.3104, 90.3104, 0, 0, 199.771, 199.771
8.58594e-09, 90.3104, 90.3104, 0, 0, 199.771, 199.771
8.91617e-09, 90.3104, 90.3104, 0, 0, 199.771, 199.771
9.2464e-09, 90.3104, 90.3104, 0, 0, 199.771, 199.771
9.57663e-09, 90.3104, 90.3104, 0, 0, 199.771, 199.771
9.90685e-09, 90.3104, 90.3104, 0, 0, 199.771, 199.771
1.02371e-08, 90.3104, 90.3104, 0, 0, 199.771, 199.771
