t, E_0, E_N, F_0, F_N, T_0, T_N
0, 5.21674e-22, 5.21674e-22, 0.5, 0.5, 0.25, 0.25
0.099, 5.21674e-22, 5.21674e-22, 0.5, 0.5, 0.25, 0.25
0.198, 5.21674e-22, 5.21674e-22, 0.5, 0.5, 0.25, 0.25
0.297, 5.21674e-22, 5.21674e-22, 0.5, 0.5, 0.25, 0.25
0.396, 5.21674e-22, 5.21674e-22, 0.5, 0.5, 0.25, 0.25
0.495, 5.21674e-22, 5.21674e-22, 0.5, 0.5, 0.25, 0.25
0.594, 5.21674e-22, 5.21674e-22, 0.5, 0.5, 0.25, 0.25
0.693, 1.09913e-16, 5.21674e-22, 0.5, 0.5, 0.25, 0.25
0.792, 5.49561e-16, 4.39649e-16, 0.5, 0.5, 0.25, 0.25
0.891, 2.58293e-15, 2.63789e-15, 0.5, 0.5, 0.25, 0.25
0.99, 1.29696e-14, 1.31895e-14, 0.5, 0.5, 0.25, 0.25
1.089, 6.11111e-14, 6.10012e-14, 0.5, 0.5, 0.25, 0.25
1.188, 2.77803e-13, 2.77748e-13, 0.5, 0.5, 0.25, 0.25
1.287, 1.21173e-12, 1.21189e-12, 0.5, 0.5, 0.25, 0.25
1.386, 5.08151e-12, 5.08178e-12, 0.5, 0.5, 0.25, 0.25
1.485, 2.04791e-11, 2.04789e-11, 0.5, 0.5, 0.25, 0.25
1.584, 7.93181e-11, 7.93182e-11, 0.5, 0.5, 0.25, 0.25
1.683, 2.9524e-10, 2.9524e-10, 0.5, 0.5, 0.25, 0.25
1.782, 1.05617e-09, 1.05617e-09, 0.5, 0.5, 0.25, 0.25
1.881, 3.6312e-09, 3.6312e-09, 0.5, 0.5, 0.25, 0.25
1.98, 1.19987e-08, 1.19987e-08, 0.5, 0.5, 0.25, 0.25
2.079, 3.8106e-08, 3.8106e-08, 0.5, 0.5, 0.25, 0.25
2.178, 1.16315e-07, 1.16315e-07, 0.5, 0.5, 0.25, 0.25
2.277, 3.41247e-07, 3.41247e-07, 0.5, 0.5, 0.25, 0.25
2.376, 9.62282e-07, 9.62282e-07, 0.499999, 0.500001, 0.25, 0.25
2.475, 2.60823e-06, 2.60823e-06, 0.499997, 0.500003, 0.25, 0.25
2.574, 6.79529e-06, 6.79529e-06, 0.499993, 0.500007, 0.25, 0.25
2.673, 1.70177e-05, 1.70177e-05, 0.499983, 0.500017, 0.25, 0.25
2.772, 4.09669e-05, 4.09669e-05, 0.499959, 0.500041, 0.25, 0.25
2.871, 9.4802e-05, 9.4802e-05, 0.499905, 0.500095, 0.25, 0.25
2.97, 0.000210895, 0.000210895, 0.499789, 0.500211, 0.25, 0.25
3.069, 0.000451014, 0.000451014, 0.499549, 0.500451, 0.25, 0.25
3.168, 0.000927264, 0.000927264, 0.499073, 0.500927, 0.25, 0.25
3.267, 0.00183282, 0.00183282, 0.498167, 0.501833, 0.25, 0.25
3.366, 0.003483, 0.003483, 0.496517, 0.503483, 0.25, 0.25
3.465, 0.00636383, 0.00636383, 0.493636, 0.506364, 0.25, 0.25
3.564, 0.0111798, 0.0111798, 0.48882, 0.51118, 0.25, 0.25
3.663, 0.0188847, 0.0188847, 0.481115, 0.518885, 0.25, 0.25
3.762, 0.030674, 0.030674, 0.469326, 0.530674, 0.25, 0.25
3.861, 0.0479104, 0.0479104, 0.45209, 0.54791, 0.25, 0.25
3.96, 0.0719627, 0.0719627, 0.428037, 0.571963, 0.25, 0.25
4.059, 0.10395, 0.10395, 0.39605, 0.60395, 0.25, 0.25
