x, E, F, T
0.005, 0.0718433, -0.0718433, 1
0.015, 0.0747124, -0.0747124, 1
0.025, 0.077665, -0.077665, 1
0.035, 0.080702, -0.080702, 1
0.045, 0.0838243, -0.0838243, 1
0.055, 0.0870327, -0.0870327, 1
0.065, 0.0903278, -0.0903278, 1
0.075, 0.0937102, -0.0937102, 1
0.085, 0.0971804, -0.0971804, 1
0.095, 0.100739, -0.100739, 1
0.105, 0.104386, -0.104386, 1
0.115, 0.108122, -0.108122, 1
0.125, 0.111947, -0.111947, 1
0.135, 0.115861, -0.115861, 1
0.145, 0.119864, -0.119864, 1
0.155, 0.123956, -0.123956, 1
0.165, 0.128136, -0.128136, 1
0.175, 0.132404, -0.132404, 1
0.185, 0.13676, -0.13676, 1
0.195, 0.141203, -0.141203, 1
0.205, 0.145732, -0.145732, 1
0.215, 0.150346, -0.150346, 1
0.225, 0.155044, -0.155044, 1
0.235, 0.159825, -0.159825, 1
0.245, 0.164688, -0.164688, 1
0.255, 0.169631, -0.169631, 1
0.265, 0.174653, -0.174653, 1
0.275, 0.179751, -0.179751, 1
0.285, 0.184925, -0.184925, 1
0.295, 0.190171, -0.190171, 1
0.305, 0.195488, -0.195488, 1
0.315, 0.200874, -0.200874, 1
0.325, 0.206325, -0.206325, 1
0.335, 0.21184, -0.21184, 1
0.345, 0.217415, -0.217415, 1
0.355, 0.223048, -0.223048, 1
0.365, 0.228736, -0.228736, 1
0.375, 0.234475, -0.234475, 1
0.385, 0.240262, -0.240262, 1
0.395, 0.246094, -0.246094, 1
0.405, 0.251966, -0.251966, 1
0.415, 0.257876, -0.257876, 1
0.425, 0.263818, -0.263818, 1
0.435, 0.26979, -0.26979, 1
0.445, 0.275787, -0.275787, 1
0.455, 0.281805, -0.281805, 1
0.465, 0.287839, -0.287839, 1
0.475, 0.293885, -0.293885, 1
0.485, 0.299938, -0.299938, 1
0.495, 0.305993, -0.305993, 1
0.505, 0.312046, -0.312046, 1
0.515, 0.318092, -0.318092, 1
0.525, 0.324125, -0.324125, 1
0.535, 0.330141, -0.330141, 1
0.545, 0.336135, -0.336135, 1
0.555, 0.3421, -0.3421, 1
0.565, 0.348033, -0.348033, 1
0.575, 0.353926, -0.353926, 1
0.585, 0.359776, -0.359776, 1
0.595, 0.365577, -0.365577, 1
0.605, 0.371323, -0.371323, 1
0.615, 0.377008, -0.377008, 1
0.625, 0.382628, -0.382628, 1
0.635, 0.388177, -0.388177, 1
0.645, 0.393648, -0.393648, 1
0.655, 0.399038, -0.399038, 1
0.665, 0.404339, -0.404339, 1
0.675, 0.409548, -0.409548, 1
0.685, 0.414658, -0.414658, 1
0.695, 0.419664, -0.419664, 1
0.705, 0.424561, -0.424561, 1
0.715, 0.429343, -0.429343, 1
0.725, 0.434007, -0.434007, 1
0.735, 0.438545, -0.438545, 1
0.745, 0.442954, -0.442954, 1
0.755, 0.447229, -0.447229, 1
0.765, 0.451365, -0.451365, 1
0.775, 0.455357, -0.455357, 1
0.785, 0.459201, -0.459201, 1
0.795, 0.462892, -0.462892, 1
0.805, 0.466427, -0.466427, 1
0.815, 0.469802, -0.469802, 1
0.825, 0.473011, -0.473011, 1
0.835, 0.476053, -0.476053, 1
0.845, 0.478922, -0.478922, 1
0.855, 0.481617, -0.481617, 1
0.865, 0.484134, -0.484134, 1
0.875, 0.486469, -0.486469, 1
0.885, 0.48862, -0.48862, 1
0.895, 0.490585, -0.490585, 1
0.905, 0.492361, -0.492361, 1
0.915, 0.493946, -0.493946, 1
0.925, 0.495339, -0.495339, 1
0.935, 0.496537, -0.496537, 1
0.945, 0.497539, -0.497539, 1
0.955, 0.498344, -0.498344, 1
0.965, 0.498952, -0.498952, 1
0.975, 0.49936, -0.49936, 1
0.985, 0.499569, -0.499569, 1
0.995, 0.499579, -0.499579, 1
1.005, 0.49939, -0.49939, 1
1.015, 0.499001, -0.499001, 1
1.025, 0.498413, -0.498413, 1
1.035, 0.497627, -0.497627, 1
1.045, 0.496644, -0.496644, 1
1.055, 0.495466, -0.495466, 1
1.065, 0.494092, -0.494092, 1
1.075, 0.492526, -0.492526, 1
1.085, 0.490768, -0.490768, 1
1.095, 0.488822, -0.488822, 1
1.105, 0.486689, -0.486689, 1
1.115, 0.484372, -0.484372, 1
1.125, 0.481873, -0.481873, 1
1.135, 0.479196, -0.479196, 1
1.145, 0.476343, -0.476343, 1
1.155, 0.473318, -0.473318, 1
1.165, 0.470125, -0.470125, 1
1.175, 0.466767, -0.466767, 1
1.185, 0.463248, -0.463248, 1
1.195, 0.459571, -0.459571, 1
1.205, 0.455742, -0.455742, 1
1.215, 0.451765, -0.451765, 1
1.225, 0.447643, -0.447643, 1
1.235, 0.443382, -0.443382, 1
1.245, 0.438986, -0.438986, 1
1.255, 0.43446, -0.43446, 1
1.265, 0.429809, -0.429809, 1
1.275, 0.425038, -0.425038, 1
1.285, 0.420152, -0.420152, 1
1.295, 0.415156, -0.415156, 1
1.305, 0.410056, -0.410056, 1
1.315, 0.404857, -0.404857, 1
1.325, 0.399565, -0.399565, 1
1.335, 0.394184, -0.394184, 1
1.345, 0.38872, -0.38872, 1
1.355, 0.383179, -0.383179, 1
1.365, 0.377566, -0.377566, 1
1.375, 0.371887, -0.371887, 1
1.385, 0.366147, -0.366147, 1
1.395, 0.360352, -0.360352, 1
1.405, 0.354506, -0.354506, 1
1.415, 0.348617, -0.348617, 1
1.425, 0.342688, -0.342688, 1
1.435, 0.336726, -0.336726, 1
1.445, 0.330735, -0.330735, 1
1.455, 0.324721, -0.324721, 1
1.465, 0.318689, -0.318689, 1
1.475, 0.312645, -0.312645, 1
1.485, 0.306592, -0.306592, 1
1.495, 0.300537, -0.300537, 1
1.505, 0.294484, -0.294484, 1
1.515, 0.288437, -0.288437, 1
1.525, 0.282402, -0.282402, 1
1.535, 0.276382, -0.276382, 1
1.545, 0.270383, -0.270383, 1
1.555, 0.264409, -0.264409, 1
1.565, 0.258463, -0.258463, 1
1.575, 0.25255, -0.25255, 1
1.585, 0.246674, -0.246674, 1
1.595, 0.240839, -0.240839, 1
1.605, 0.235047, -0.235047, 1
1.615, 0.229303, -0.229303, 1
1.625, 0.223611, -0.223611, 1
1.635, 0.217972, -0.217972, 1
1.645, 0.212391, -0.212391, 1
1.655, 0.20687, -0.20687, 1
1.665, 0.201412, -0.201412, 1
1.675, 0.19602, -0.19602, 1
1.685, 0.190696, -0.190696, 1
1.695, 0.185443, -0.185443, 1
1.705, 0.180262, -0.180262, 1
1.715, 0.175157, -0.175157, 1
1.725, 0.170127, -0.170127, 1
1.735, 0.165177, -0.165177, 1
1.745, 0.160306, -0.160306, 1
1.755, 0.155517, -0.155517, 1
1.765, 0.15081, -0.15081, 1
1.775, 0.146188, -0.146188, 1
1.785, 0.141651, -0.141651, 1
1.795, 0.137199, -0.137199, 1
1.805, 0.132835, -0.132835, 1
1.815, 0.128558, -0.128558, 1
1.825, 0.124369, -0.124369, 1
1.835, 0.120269, -0.120269, 1
1.845, 0.116257, -0.116257, 1
1.855, 0.112334, -0.112334, 1
1.865, 0.108501, -0.108501, 1
1.875, 0.104756, -0.104756, 1
1.885, 0.1011, -0.1011, 1
1.895, 0.0975328, -0.0975328, 1
1.905, 0.0940539, -0.0940539, 1
1.915, 0.0906628, -0.0906628, 1
1.925, 0.0873591, -0.0873591, 1
1.935, 0.0841422, -0.0841422, 1
1.945, 0.0810114, -0.0810114, 1
1.955, 0.077966, -0.077966, 1
1.965, 0.0750051, -0.0750051, 1
1.975, 0.0721278, -0.0721278, 1
1.985, 0.0693332, -0.0693332, 1
1.995, 0.0666202, -0.0666202, 1
2.005, 0.0639879, -0.0639879, 1
2.015, 0.061435, -0.061435, 1
2.025, 0.0589605, -0.0589605, 1
2.035, 0.056563, -0.056563, 1
2.045, 0.0542413, -0.0542413, 1
2.055, 0.0519942, -0.0519942, 1
2.065, 0.0498203, -0.0498203, 1
2.075, 0.0477182, -0.0477182, 1
2.085, 0.0456865, -0.0456865, 1
2.095, 0.0437239, -0.0437239, 1
2.105, 0.0418289, -0.0418289, 1
2.115, 0.04, -0.04, 1
2.125, 0.0382358, -0.0382358, 1
2.135, 0.0365349, -0.0365349, 1
2.145, 0.0348957, -0.0348957, 1
2.155, 0.0333167, -0.0333167, 1
2.165, 0.0317965, -0.0317965, 1
2.175, 0.0303335, -0.0303335, 1
2.185, 0.0289262, -0.0289262, 1
2.195, 0.0275733, -0.0275733, 1
2.205, 0.0262731, -0.0262731, 1
2.215, 0.0250243, -0.0250243, 1
2.225, 0.0238253, -0.0238253, 1
2.235, 0.0226747, -0.0226747, 1
2.245, 0.021571, -0.021571, 1
2.255, 0.0205129, -0.0205129, 1
2.265, 0.0194988, -0.0194988, 1
2.275, 0.0185275, -0.0185275, 1
2.285, 0.0175976, -0.0175976, 1
2.295, 0.0167077, -0.0167077, 1
2.305, 0.0158564, -0.0158564, 1
2.315, 0.0150425, -0.0150425, 1
2.325, 0.0142647, -0.0142647, 1
2.335, 0.0135217, -0.0135217, 1
2.345, 0.0128123, -0.0128123, 1
2.355, 0.0121352, -0.0121352, 1
2.365, 0.0114894, -0.0114894, 1
2.375, 0.0108735, -0.0108735, 1
2.385, 0.0102866, -0.0102866, 1
2.395, 0.00972749, -0.00972749, 1
2.405, 0.00919508, -0.00919508, 1
2.415, 0.00868833, -0.00868833, 1
2.425, 0.00820624, -0.00820624, 1
2.435, 0.0077478, -0.0077478, 1
2.445, 0.00731206, -0.00731206, 1
2.455, 0.00689806, -0.00689806, 1
2.465, 0.00650491, -0.00650491, 1
2.475, 0.00613171, -0.00613171, 1
2.485, 0.00577762, -0.00577762, 1
2.495, 0.00544181, -0.00544181, 1
2.505, 0.00512346, -0.00512346, 1
2.515, 0.00482181, -0.00482181, 1
2.525, 0.00453611, -0.00453611, 1
2.535, 0.00426564, -0.00426564, 1
2.545, 0.00400969, -0.00400969, 1
2.555, 0.00376759, -0.00376759, 1
2.565, 0.0035387, -0.0035387, 1
2.575, 0.00332239, -0.00332239, 1
2.585, 0.00311805, -0.00311805, 1
2.595, 0.00292512, -0.00292512, 1
2.605, 0.00274302, -0.00274302, 1
2.615, 0.00257124, -0.00257124, 1
2.625, 0.00240925, -0.00240925, 1
2.635, 0.00225656, -0.00225656, 1
2.645, 0.00211271, -0.00211271, 1
2.655, 0.00197724, -0.00197724, 1
2.665, 0.00184971, -0.00184971, 1
2.675, 0.00172972, -0.00172972, 1
2.685, 0.00161687, -0.00161687, 1
2.695, 0.00151078, -0.00151078, 1
2.705, 0.00141108, -0.00141108, 1
2.715, 0.00131744, -0.00131744, 1
2.725, 0.00122952, -0.00122952, 1
2.735, 0.00114701, -0.00114701, 1
2.745, 0.00106961, -0.00106961, 1
2.755, 0.000997037, -0.000997037, 1
2.765, 0.000929015, -0.000929015, 1
2.775, 0.000865289, -0.000865289, 1
2.785, 0.000805611, -0.000805611, 1
2.795, 0.00074975, -0.00074975, 1
2.805, 0.000697484, -0.000697484, 1
2.815, 0.000648603, -0.000648603, 1
2.825, 0.000602906, -0.000602906, 1
2.835, 0.000560205, -0.000560205, 1
2.845, 0.000520321, -0.000520321, 1
2.855, 0.000483083, -0.000483083, 1
2.865, 0.000448332, -0.000448332, 1
2.875, 0.000415914, -0.000415914, 1
2.885, 0.000385686, -0.000385686, 1
2.895, 0.000357512, -0.000357512, 1
2.905, 0.000331264, -0.000331264, 1
2.915, 0.000306821, -0.000306821, 1
2.925, 0.000284067, -0.000284067, 1
2.935, 0.000262896, -0.000262896, 1
2.945, 0.000243206, -0.000243206, 1
2.955, 0.000224901, -0.000224901, 1
2.965, 0.00020789, -0.00020789, 1
2.975, 0.00019209, -0.00019209, 1
2.985, 0.000177419, -0.000177419, 1
2.995, 0.000163803, -0.000163803, 1
3.005, 0.000151172, -0.000151172, 1
3.015, 0.00013946, -0.00013946, 1
3.025, 0.000128603, -0.000128603, 1
3.035, 0.000118544, -0.000118544, 1
3.045, 0.000109228, -0.000109228, 1
3.055, 0.000100605, -0.000100605, 1
3.065, 9.26247e-05, -9.26247e-05, 1
3.075, 8.52437e-05, -8.52437e-05, 1
3.085, 7.84196e-05, -7.84196e-05, 1
3.095, 7.21129e-05, -7.21129e-05, 1
3.105, 6.6287e-05, -6.6287e-05, 1
3.115, 6.09074e-05, -6.09074e-05, 1
3.125, 5.59421e-05, -5.59421e-05, 1
3.135, 5.1361e-05, -5.1361e-05, 1
3.145, 4.71363e-05, -4.71363e-05, 1
3.155, 4.32418e-05, -4.32418e-05, 1
3.165, 3.96532e-05, -3.96532e-05, 1
3.175, 3.63479e-05, -3.63479e-05, 1
3.185, 3.33048e-05, -3.33048e-05, 1
3.195, 3.05044e-05, -3.05044e-05, 1
3.205, 2.79282e-05, -2.79282e-05, 1
3.215, 2.55594e-05, -2.55594e-05, 1
3.225, 2.33822e-05, -2.33822e-05, 1
3.235, 2.13819e-05, -2.13819e-05, 1
3.245, 1.95449e-05, -1.95449e-05, 1
3.255, 1.78586e-05, -1.78586e-05, 1
3.265, 1.63113e-05, -1.63113e-05, 1
3.275, 1.48921e-05, -1.48921e-05, 1
3.285, 1.35909e-05, -1.35909e-05, 1
3.295, 1.23985e-05, -1.23985e-05, 1
3.305, 1.13062e-05, -1.13062e-05, 1
3.315, 1.0306e-05, -1.0306e-05, 1
3.325, 9.39052e-06, -9.39052e-06, 1
3.335, 8.55296e-06, -8.55296e-06, 1
3.345, 7.78699e-06, -7.78699e-06, 1
3.355, 7.08679e-06, -7.08679e-06, 1
3.365, 6.44698e-06, -6.44698e-06, 1
3.375, 5.86259e-06, -5.86259e-06, 1
3.385, 5.32904e-06, -5.32904e-06, 1
3.395, 4.84212e-06, -4.84212e-06, 1
3.405, 4.39793e-06, -4.39793e-06, 1
3.415, 3.99289e-06, -3.99289e-06, 1
3.425, 3.62371e-06, -3.62371e-06, 1
3.435, 3.28735e-06, -3.28735e-06, 1
3.445, 2.98102e-06, -2.98102e-06, 1
3.455, 2.70216e-06, -2.70216e-06, 1
3.465, 2.4484e-06, -2.4484e-06, 1
3.475, 2.21759e-06, -2.21759e-06, 1
3.485, 2.00774e-06, -2.00774e-06, 1
3.495, 1.81702e-06, -1.81702e-06, 1
3.505, 1.64376e-06, -1.64376e-06, 1
3.515, 1.48643e-06, -1.48643e-06, 1
3.525, 1.34362e-06, -1.34362e-06, 1
3.535, 1.21404e-06, -1.21404e-06, 1
3.545, 1.09653e-06, -1.09653e-06, 1
3.555, 9.8999e-07, -9.8999e-07, 1
3.565, 8.93448e-07, -8.93448e-07, 1
3.575, 8.05998e-07, -8.05998e-07, 1
3.585, 7.26818e-07, -7.26818e-07, 1
3.595, 6.55154e-07, -6.55154e-07, 1
3.605, 5.90321e-07, -5.90321e-07, 1
3.615, 5.31691e-07, -5.31691e-07, 1
3.625, 4.78693e-07, -4.78693e-07, 1
3.635, 4.30806e-07, -4.30806e-07, 1
3.645, 3.87554e-07, -3.87554e-07, 1
3.655, 3.48506e-07, -3.48506e-07, 1
3.665, 3.13267e-07, -3.13267e-07, 1
3.675, 2.81478e-07, -2.81478e-07, 1
3.685, 2.52815e-07, -2.52815e-07, 1
3.695, 2.26979e-07, -2.26979e-07, 1
3.705, 2.03703e-07, -2.03703e-07, 1
3.715, 1.8274e-07, -1.8274e-07, 1
3.725, 1.63869e-07, -1.63869e-07, 1
3.735, 1.46888e-07, -1.46888e-07, 1
3.745, 1.31615e-07, -1.31615e-07, 1
3.755, 1.17882e-07, -1.17882e-07, 1
3.765, 1.0554e-07, -1.0554e-07, 1
3.775, 9.44528e-08, -9.44528e-08, 1
3.785, 8.44964e-08, -8.44964e-08, 1
3.795, 7.55593e-08, -7.55593e-08, 1
3.805, 6.75405e-08, -6.75405e-08, 1
3.815, 6.03486e-08, -6.03486e-08, 1
3.825, 5.3901e-08, -5.3901e-08, 1
3.835, 4.8123e-08, -4.8123e-08, 1
3.845, 4.29473e-08, -4.29473e-08, 1
3.855, 3.83129e-08, -3.83129e-08, 1
3.865, 3.4165e-08, -3.4165e-08, 1
3.875, 3.0454e-08, -3.0454e-08, 1
3.885, 2.71352e-08, -2.71352e-08, 1
3.895, 2.41685e-08, -2.41685e-08, 1
3.905, 2.15175e-08, -2.15175e-08, 1
3.915, 1.91496e-08, -1.91496e-08, 1
3.925, 1.70355e-08, -1.70355e-08, 1
3.935, 1.51488e-08, -1.51488e-08, 1
3.945, 1.34656e-08, -1.34656e-08, 1
3.955, 1.19647e-08, -1.19647e-08, 1
3.965, 1.06268e-08, -1.06268e-08, 1
3.975, 9.43479e-09, -9.43479e-09, 1
3.985, 8.37312e-09, -8.37312e-09, 1
3.995, 7.42795e-09, -7.42795e-09, 1
4.005, 6.58685e-09, -6.58685e-09, 1
4.015, 5.83865e-09, -5.83865e-09, 1
4.025, 5.17337e-09, -5.17337e-09, 1
4.035, 4.58207e-09, -4.58207e-09, 1
4.045, 4.05674e-09, -4.05674e-09, 1
4.055, 3.59019e-09, -3.59019e-09, 1
4.065, 3.17604e-09, -3.17604e-09, 1
4.075, 2.80854e-09, -2.80854e-09, 1
4.085, 2.48257e-09, -2.48257e-09, 1
4.095, 2.19356e-09, -2.19356e-09, 1
4.105, 1.93742e-09, -1.93742e-09, 1
4.115, 1.7105e-09, -1.7105e-09, 1
4.125, 1.50956e-09, -1.50956e-09, 1
4.135, 1.3317e-09, -1.3317e-09, 1
4.145, 1.17432e-09, -1.17432e-09, 1
4.155, 1.03513e-09, -1.03513e-09, 1
4.165, 9.12068e-10, -9.12068e-10, 1
4.175, 8.03319e-10, -8.03319e-10, 1
4.185, 7.07253e-10, -7.07253e-10, 1
4.195, 6.22427e-10, -6.22427e-10, 1
4.205, 5.47556e-10, -5.47556e-10, 1
4.215, 4.81499e-10, -4.81499e-10, 1
4.225, 4.23242e-10, -4.23242e-10, 1
4.235, 3.71885e-10, -3.71885e-10, 1
4.245, 3.2663e-10, -3.2663e-10, 1
4.255, 2.86767e-10, -2.86767e-10, 1
4.265, 2.51668e-10, -2.51668e-10, 1
4.275, 2.20778e-10, -2.20777e-10, 1
4.285, 1.93601e-10, -1.93601e-10, 1
4.295, 1.69702e-10, -1.69702e-10, 1
4.305, 1.48694e-10, -1.48694e-10, 1
4.315, 1.30235e-10, -1.30235e-10, 1
4.325, 1.14021e-10, -1.14021e-10, 1
4.335, 9.97866e-11, -9.97866e-11, 1
4.345, 8.72941e-11, -8.7294e-11, 1
4.355, 7.6335e-11, -7.6335e-11, 1
4.365, 6.6725e-11, -6.67252e-11, 1
4.375, 5.83017e-11, -5.83017e-11, 1
4.385, 5.09215e-11, -5.09214e-11, 1
4.395, 4.44577e-11, -4.44577e-11, 1
4.405, 3.87988e-11, -3.87989e-11, 1
4.415, 3.38467e-11, -3.38469e-11, 1
4.425, 2.9515e-11, -2.9515e-11, 1
4.435, 2.57274e-11, -2.57273e-11, 1
4.445, 2.24168e-11, -2.24168e-11, 1
4.455, 1.95244e-11, -1.95245e-11, 1
4.465, 1.69985e-11, -1.69985e-11, 1
4.475, 1.47935e-11, -1.47935e-11, 1
4.485, 1.28694e-11, -1.28693e-11, 1
4.495, 1.1191e-11, -1.1191e-11, 1
4.505, 9.7276e-12, -9.72762e-12, 1
4.515, 8.45219e-12, -8.45216e-12, 1
4.525, 7.34111e-12, -7.34093e-12, 1
4.535, 6.37345e-12, -6.37326e-12, 1
4.545, 5.53104e-12, -5.53103e-12, 1
4.555, 4.79815e-12, -4.79827e-12, 1
4.565, 4.16082e-12, -4.16096e-12, 1
4.575, 3.60668e-12, -3.60686e-12, 1
4.585, 3.12509e-12, -3.12521e-12, 1
4.595, 2.70674e-12, -2.70677e-12, 1
4.605, 2.34347e-12, -2.34347e-12, 1
4.615, 2.02808e-12, -2.02808e-12, 1
4.625, 1.75434e-12, -1.75436e-12, 1
4.635, 1.51697e-12, -1.51699e-12, 1
4.645, 1.31131e-12, -1.31125e-12, 1
4.655, 1.13305e-12, -1.13302e-12, 1
4.665, 9.78689e-13, -9.78574e-13, 1
4.675, 8.44953e-13, -8.4486e-13, 1
4.685, 7.29204e-13, -7.29137e-13, 1
4.695, 6.29083e-13, -6.29044e-13, 1
4.705, 5.42591e-13, -5.42419e-13, 1
4.715, 4.67746e-13, -4.67584e-13, 1
4.725, 4.03027e-13, -4.02846e-13, 1
4.735, 3.47095e-13, -3.46914e-13, 1
4.745, 2.9882e-13, -2.9861e-13, 1
4.755, 2.57235e-13, -2.56903e-13, 1
4.765, 2.21386e-13, -2.20963e-13, 1
4.775, 1.90418e-13, -1.90114e-13, 1
4.785, 1.63693e-13, -1.63454e-13, 1
4.795, 1.40714e-13, -1.40329e-13, 1
4.805, 1.20914e-13, -1.20348e-13, 1
4.815, 1.03794e-13, -1.03177e-13, 1
4.825, 8.91112e-14, -8.84405e-14, 1
4.835, 7.65059e-14, -7.57742e-14, 1
4.845, 6.57226e-14, -6.4843e-14, 1
4.855, 5.64632e-14, -5.54274e-14, 1
4.865, 4.85393e-14, -4.73687e-14, 1
4.875, 4.18489e-14, -4.0387e-14, 1
4.885, 3.61145e-14, -3.43796e-14, 1
4.895, 3.11882e-14, -2.91798e-14, 1
4.905, 2.70656e-14, -2.47103e-14, 1
4.915, 2.36541e-14, -2.07628e-14, 1
4.925, 2.06845e-14, -1.72071e-14, 1
4.935, 1.81203e-14, -1.41222e-14, 1
4.945, 1.60487e-14, -1.14247e-14, 1
4.955, 1.44508e-14, -8.95825e-15, 1
4.965, 1.32325e-14, -6.66089e-15, 1
4.975, 1.23181e-14, -4.6022e-15, 1
4.985, 1.17598e-14, -2.72281e-15, 1
4.995, 1.15382e-14, -9.63762e-16, 1
5.005, 1.1556e-14, 7.87644e-16, 1
5.015, 1.1779e-14, 2.65429e-15, 1
5.025, 1.23541e-14, 4.65678e-15, 1
5.035, 1.32553e-14, 6.77548e-15, 1
5.045, 1.44682e-14, 9.05648e-15, 1
5.055, 1.60618e-14, 1.14971e-14, 1
5.065, 1.81119e-14, 1.41724e-14, 1
5.075, 2.0611e-14, 1.72482e-14, 1
5.085, 2.35916e-14, 2.08112e-14, 1
5.095, 2.70921e-14, 2.46761e-14, 1
5.105, 3.12584e-14, 2.90589e-14, 1
5.115, 3.61192e-14, 3.42728e-14, 1
5.125, 4.18874e-14, 4.03438e-14, 1
5.135, 4.86374e-14, 4.73404e-14, 1
5.145, 5.66269e-14, 5.54698e-14, 1
5.155, 6.58976e-14, 6.49463e-14, 1
5.165, 7.66877e-14, 7.59256e-14, 1
5.175, 8.92537e-14, 8.86186e-14, 1
5.185, 1.03855e-13, 1.03279e-13, 1
5.195, 1.20888e-13, 1.20295e-13, 1
5.205, 1.40702e-13, 1.40179e-13, 1
5.215, 1.63696e-13, 1.63288e-13, 1
5.225, 1.90405e-13, 1.90129e-13, 1
5.235, 2.21324e-13, 2.21177e-13, 1
5.245, 2.57224e-13, 2.57014e-13, 1
5.255, 2.98858e-13, 2.98656e-13, 1
5.265, 3.47147e-13, 3.46942e-13, 1
5.275, 4.03004e-13, 4.02869e-13, 1
5.285, 4.67616e-13, 4.67591e-13, 1
5.295, 5.42465e-13, 5.42458e-13, 1
5.305, 6.29112e-13, 6.29e-13, 1
5.315, 7.29213e-13, 7.29163e-13, 1
5.325, 8.4496e-13, 8.44991e-13, 1
5.335, 9.78618e-13, 9.78746e-13, 1
5.345, 1.13304e-12, 1.13309e-12, 1
5.355, 1.31136e-12, 1.31133e-12, 1
5.365, 1.51718e-12, 1.51707e-12, 1
5.375, 1.75451e-12, 1.75449e-12, 1
5.385, 2.02809e-12, 2.02813e-12, 1
5.395, 2.34345e-12, 2.34345e-12, 1
5.405, 2.70677e-12, 2.70669e-12, 1
5.415, 3.12509e-12, 3.12502e-12, 1
5.425, 3.60663e-12, 3.60663e-12, 1
5.435, 4.16084e-12, 4.16086e-12, 1
5.445, 4.79826e-12, 4.79833e-12, 1
5.455, 5.53115e-12, 5.53118e-12, 1
5.465, 6.37342e-12, 6.37351e-12, 1
5.475, 7.34111e-12, 7.3412e-12, 1
5.485, 8.45225e-12, 8.45231e-12, 1
5.495, 9.72764e-12, 9.72762e-12, 1
5.505, 1.11909e-11, 1.11909e-11, 1
5.515, 1.28692e-11, 1.28692e-11, 1
5.525, 1.47934e-11, 1.47934e-11, 1
5.535, 1.69985e-11, 1.69985e-11, 1
